#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2018-09-25T16:21:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5baa5fdab92b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:I/324&cat:I/337&cat:I/345&tab:{I/345/gaia2}&tab:{I/345/rvstdcat}&tab:{I/345/rvstdmes}&tab:{I/345/allwise}&tab:{I/345/iers}&tab:{I/345/cepheid}&tab:{I/345/rrlyrae}&tab:{I/345/lpv}&tab:{I/345/varres}&tab:{I/345/shortts}&tab:{I/345/tsstat}&tab:{I/345/numtrans}&tab:{I/345/transits}&tab:{I/345/rm}&tab:{I/345/rmseg}&tab:{I/345/rmout}&tab:{I/345/ssoobj}&tab:{I/345/ssoorb}&tab:{I/345/ssores}&tab:{I/345/ssoobs}&cat:I/347&cat:VI/137&cat:VI/145&cat:J/A+A/523/A48&cat:V/149&key:source=gaia+dr2&HTTPPRM:&&-ref=VIZ5baa5fdab92b&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c=cg 30
#-c.eq=J2000
#-c.r=  2
#-c.u=deg
#-c.geom=r
#-source=I/345/gaia2,I/345/rvstdcat,I/345/rvstdmes,I/345/allwise,I/345/iers,I/345/cepheid,I/345/rrlyrae,I/345/lpv,I/345/varres,I/345/shortts,I/345/tsstat,I/345/numtrans,I/345/transits,I/345/rm,I/345/rmseg,I/345/rmout,I/345/ssoobj,I/345/ssoorb,I/345/ssores,I/345/ssoobs
#-out.orig=standard
#-order=I
#-sort=RA_ICRS
#-out=Plx
#Plx=>2.10 and < 4.04
#-out=e_Plx
#-out=pmRA
#-out=e_pmRA
#-out=pmDE
#-out=e_pmDE
#-out=Gmag
#-out=e_Gmag
#-out=BPmag
#-out=e_BPmag
#-out=RPmag
#-out=e_RPmag
#-out=RV
#-out=e_RV
#VC=VC
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#Simbad=Simbad
#LC=LC
#astorb=astorb
#
#INFO	CatalogsExamined=20	
#  20 catalogues with potential matches were examined.
#
#INFO	-c=122.386750-36.083450,rd=2.	
#

#RESOURCE=yCat_1345
#Name: I/345
#Title: Gaia DR2 (Gaia Collaboration, 2018)
#Coosys	H_2015.500:	ICRS
#Table	I_345_gaia2:
#Name: I/345/gaia2
#Title: GaiaSource DR2 data
#Column	_r	(F8.6)	Distance from center (122.38675000000-36.08345000000)[ICRS], at Epoch=J2015.5	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax (parallax)	[ucd=pos.parallax]
#Column	e_Plx	(F7.4)	? Standard error of parallax (parallax_error)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F9.3)	? Proper motion in right ascension direction (pmRA*cosDE) (pmra) (3)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F6.3)	? Standard error of proper motion in right ascension direction (pmra_error)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F9.3)	? Proper motion in declination direction (pmdec) (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F6.3)	? Standard error of proper motion in declination direction (pmdec_error)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Gmag	(F7.4)	G-band mean magnitude (Vega) (phot_g_mean_mag) (23)	[ucd=phot.mag;stat.mean;em.opt]
#Column	e_Gmag	(F6.4)	Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BPmag	(F7.4)	? Integrated BP mean magnitude (Vega) (phot_bp_mean_mag) (26)	[ucd=phot.mag;stat.mean;em.opt.B]
#Column	e_BPmag	(F6.4)	? Standard error of BP mean magnitude (Vega) (added by CDS) (phot_bp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RPmag	(F7.4)	? Integrated RP mean magnitude (Vega) (phot_rp_mean_mag) (29)	[ucd=phot.mag;stat.mean;em.opt.R]
#Column	e_RPmag	(F6.4)	? Standard error of RP mean magnitude (Vega) (added by CDS) (phot_rp_mean_mag_error) (37)	[ucd=stat.error;phot.mag;stat.mean]
#Column	RV	(F7.2)	? Spectroscopic radial velocity in the solar barycentric reference frame (radial_velocity)	[ucd=spect.dopplerVeloc.opt;pos.barycenter]
#Column	e_RV	(F5.2)	? Radial velocity error (radial_velocity_error) (30)	[ucd=stat.error;spect.dopplerVeloc.opt;pos.barycenter]
_r	_RAJ2000	_DEJ2000	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	e_Gmag	BPmag	e_BPmag	RPmag	e_RPmag	RV	e_RV
1.388705	121.0846543055990	-36.9967797428737	    2.3447	 0.9019	    0.020	 1.400	    4.333	 3.221	20.6013	0.0113	21.0232	0.1136	19.5143	0.1074	       	
1.906880	121.0847118842322	-34.5001199410220	    2.3136	 0.8494	   -0.133	 1.049	    1.118	 1.474	20.4958	0.0070	21.1847	0.0966	19.2486	0.0399	       	
1.150206	121.0849070976012	-35.6256306310905	    2.2176	 1.1079	   -3.363	 1.633	    7.301	 2.441	20.7554	0.0108	21.5389	0.2203	19.6475	0.0909	       	
1.929930	121.0853757264262	-37.7087507625378	    3.6382	 0.8138	   21.317	 1.465	  -20.818	 1.705	20.3094	0.0078	21.1687	0.3762	18.6009	0.1054	       	
1.057808	121.0857011833960	-35.9746922488930	    2.2503	 1.3593	   -6.724	 2.191	   -1.270	 2.783	20.8580	0.0173	21.2963	0.1733	19.6124	0.0625	       	
1.798852	121.0859252401891	-34.6307247503506	    2.8674	 1.1354	   -9.731	 1.558	    1.837	 1.857	20.5320	0.0094	       	      	       	      	       	
1.874626	121.0859561334372	-34.5382833304123	    3.6200	 1.6661	   -0.991	 2.314	    8.381	 4.814	20.9792	0.0158	20.5518	0.1366	19.4433	0.0964	       	
1.520804	121.0864681602728	-37.1897985437361	    3.1820	 0.1080	  -34.674	 0.199	    4.158	 0.185	17.7349	0.0012	18.9431	0.0296	16.5932	0.0056	       	
1.740341	121.0863491782538	-37.4777827491595	    3.8495	 1.6291	   -3.910	 2.287	    3.998	 3.920	20.9379	0.0195	20.9919	0.2757	19.8809	0.1970	       	
1.087158	121.0866524741401	-35.8112200041069	    2.1447	 0.5228	   -5.578	 0.906	    5.251	 0.985	20.1871	0.0054	21.5811	0.2342	18.8415	0.0501	       	
1.108037	121.0871604917123	-36.4435646015920	    2.5454	 0.0164	   -9.972	 0.028	    7.678	 0.029	13.4240	0.0018	13.9207	0.0068	12.7769	0.0047	       	
1.288890	121.0872024322626	-36.8376726316035	    2.1118	 1.4390	   -6.538	 1.793	    3.055	 3.485	20.7680	0.0114	21.1048	0.2214	19.7980	0.0928	       	
1.197463	121.0876590789252	-36.6665023266466	    3.0252	 0.8790	    1.706	 1.219	    4.375	 2.021	20.6393	0.0102	21.1638	0.1898	19.6502	0.0732	       	
1.450304	121.0878361204629	-35.0898281482498	    3.9165	 0.6139	  -24.094	 0.891	   16.795	 0.962	20.2087	0.0058	21.3749	0.2793	18.6312	0.0422	       	
1.150646	121.0878516658229	-35.6191065484604	    2.3047	 1.0042	    2.206	 1.351	    4.272	 2.181	20.6795	0.0093	20.9681	0.3116	19.7093	0.0781	       	
1.507489	121.0884208103203	-37.1729345833100	    2.3287	 1.0164	   -3.842	 1.507	    2.738	 2.443	20.8513	0.0128	21.2281	0.2733	19.6487	0.0741	       	
1.656561	121.0890150492339	-34.8080665247330	    2.5952	 0.5841	   -5.156	 0.884	   -3.056	 0.867	19.8860	0.0046	20.8002	0.1251	18.7893	0.0375	       	
1.538479	121.0893494277208	-34.9644893515232	    2.1273	 0.7693	   -0.958	 1.052	   -2.459	 1.905	20.4334	0.0069	20.6232	0.1868	18.9956	0.2119	       	
1.050819	121.0894380123833	-36.0195547816451	    2.2236	 1.0795	   -4.522	 1.718	    3.433	 3.058	20.7872	0.0096	21.1388	0.1609	19.8742	0.0863	       	
1.050483	121.0895355800293	-36.1579533180707	    2.1958	 0.6469	    3.201	 1.051	    1.104	 1.301	20.0959	0.0070	20.8240	0.0863	18.9521	0.0352	       	
1.291213	121.0897773819243	-36.8444949225899	    2.2253	 0.8744	   -2.884	 1.315	  -13.598	 3.299	20.4272	0.0100	21.1225	0.1315	19.2755	0.0436	       	
1.134847	121.0899182810292	-36.5257880924787	    2.1924	 0.4930	   -9.018	 0.770	   14.134	 0.853	20.0450	0.0051	20.8769	0.1141	18.8615	0.0359	       	
1.632652	121.0907435552509	-37.3429255995257	    3.7747	 0.0275	  -17.045	 0.040	   10.926	 0.045	11.8645	0.0009	12.2062	0.0027	11.3780	0.0025	  23.67	 1.94
1.544325	121.0911050582990	-34.9552182970535	    2.2247	 1.2788	   -2.543	 1.709	    4.020	 2.696	20.6319	0.0112	21.4619	0.2115	19.3820	0.0563	       	
1.931115	121.0911560226777	-34.4677242409216	    3.4802	 2.1057	   -6.663	 3.010	    3.234	 4.046	20.8955	0.0138	21.4206	0.1745	19.7246	0.0744	       	
1.382598	121.0912629205561	-36.9935087902653	    2.4779	 1.2401	   -4.554	 1.917	    0.289	 3.867	20.6680	0.0137	20.8347	0.1936	19.1174	0.0739	       	
1.385129	121.0914891260624	-36.9976344881835	    2.5553	 1.1945	   -3.006	 1.746	    9.294	 4.085	20.8143	0.0140	20.8471	0.2130	19.5977	0.0839	       	
1.792945	121.0919955130964	-34.6343697808199	    2.3522	 0.7109	    2.463	 1.009	    1.862	 1.256	20.2895	0.0073	20.7178	0.1556	18.9368	0.0772	       	
1.165677	121.0924961169072	-35.5757888116543	    2.5551	 0.1951	   -2.699	 0.319	   -0.365	 0.329	17.9700	0.0016	19.0421	0.0301	16.8867	0.0046	       	
1.329848	121.0925007580973	-35.2691352238400	    2.2427	 1.0444	   -2.961	 1.682	   11.852	 3.494	20.8189	0.0114	21.3731	0.2403	19.6479	0.0953	       	
1.946230	121.0925898542967	-34.4489740723959	    2.7412	 1.6395	   -4.347	 1.683	   -3.690	 2.961	20.7068	0.0097	21.0441	0.2133	19.5741	0.0520	       	
1.085166	121.0928082054594	-35.8003988902326	    2.5972	 1.3183	   -5.267	 2.002	   -2.018	 3.430	20.9123	0.0141	21.1653	0.2810	19.7033	0.1018	       	
1.081666	121.0928379206453	-36.3671050123675	    2.7618	 0.5687	   -6.295	 1.091	    3.488	 1.149	18.4716	0.0300	       	      	       	      	       	
1.558713	121.0928524096646	-34.9344142621198	    3.0642	 1.2003	   -1.385	 1.592	    3.328	 3.384	20.6905	0.0108	21.0373	0.1870	19.5763	0.0672	       	
1.607840	121.0931261539126	-37.3120022744258	    2.5151	 1.2331	  -10.337	 1.807	   -0.366	 3.882	20.6129	0.0116	20.5510	0.1660	19.1519	0.0792	       	
1.542720	121.0932523348823	-37.2250701781694	    2.8669	 0.9508	    4.598	 1.393	    0.452	 2.145	20.3168	0.0116	19.6393	0.2459	18.8163	0.1151	       	
1.081241	121.0934944123846	-36.3673145209865	    2.4025	 0.0254	   -9.146	 0.040	  -14.995	 0.044	11.5857	0.0004	11.8487	0.0009	11.1782	0.0006	       	
1.112359	121.0936512790843	-35.7087609701750	    2.5387	 0.0385	   40.070	 0.064	   14.584	 0.063	15.9658	0.0005	16.8277	0.0047	15.0555	0.0018	       	
1.178942	121.0940135166346	-36.6367750755575	    2.9648	 0.7747	   -0.336	 1.038	    2.729	 2.064	20.5518	0.0086	21.1107	0.1895	19.4750	0.0499	       	
1.204038	121.0941326055219	-36.6892279342453	    2.8130	 2.5609	    0.687	 3.466	   12.543	 3.672	20.9224	0.0179	20.8427	0.3691	20.0838	0.2752	       	
1.169900	121.0944586386951	-36.6176804370557	    2.1803	 0.6371	   -0.770	 0.946	    2.113	 1.247	20.3806	0.0072	21.1057	0.1749	19.3967	0.0488	       	
1.216582	121.0947120738943	-35.4660394223966	    2.2327	 1.8007	   -6.609	 2.429	    2.433	 2.957	20.8238	0.0116	       	      	       	      	       	
1.420780	121.0948234631306	-37.0540460407797	    3.9216	 0.5075	   -4.209	 0.843	    1.137	 1.005	17.6628	0.0044	18.1425	0.0150	16.8183	0.0072	       	
1.375790	121.0953373466652	-35.1939048213865	    2.7548	 0.9930	   -0.648	 1.580	    4.757	 2.258	20.6722	0.0122	21.3392	0.2438	19.5585	0.0934	       	
1.223462	121.0953783259569	-36.7289551031020	    3.3496	 1.2505	   -3.438	 1.833	    3.189	 2.875	20.9669	0.0142	21.4754	0.1689	19.8945	0.1221	       	
1.154699	121.0956746278090	-36.5850865450360	    2.1913	 1.9092	   -3.324	 3.013	    5.276	 3.834	20.9627	0.0162	21.6529	0.4640	19.8212	0.1078	       	
1.044552	121.0958559318761	-36.0376229260247	    2.2617	 1.0830	    0.117	 1.703	    5.925	 2.543	20.7748	0.0116	21.2130	0.1591	19.8044	0.0969	       	
1.139497	121.0959859141471	-35.6317319377420	    2.1632	 1.0780	   -3.611	 1.313	    2.451	 2.746	20.6740	0.0100	21.8712	0.3265	19.4585	0.0517	       	
1.589785	121.0962727139239	-34.8903929526708	    2.3585	 1.2580	    4.776	 2.261	    7.469	 4.095	20.8353	0.0146	21.4638	0.2124	19.5785	0.0714	       	
1.215166	121.0964319182579	-36.7143447398493	    3.1104	 1.1351	   -4.731	 1.569	    9.825	 2.780	20.8080	0.0131	21.6927	0.4352	19.5098	0.1103	       	
1.485259	121.0964805916280	-35.0325762955255	    2.9996	 0.4976	   11.709	 0.801	    5.675	 0.782	17.8631	0.0080	18.4960	0.0152	16.7900	0.0076	       	
1.875484	121.0966943128721	-34.5312815952005	    2.1372	 1.7367	    1.192	 2.044	    6.727	 3.653	20.7153	0.0132	20.8120	0.1861	19.1279	0.1009	       	
1.721815	121.0970067733821	-34.7198248587607	    2.9934	 0.9484	   -3.368	 1.476	    7.865	 1.400	20.5244	0.0082	21.4807	0.1932	19.3947	0.0476	       	
1.612715	121.0971713802573	-34.8595517322620	    2.1112	 1.1852	   -2.971	 1.634	    1.682	 2.041	20.7732	0.0112	21.2307	0.2437	19.6955	0.0982	       	
1.450116	121.0972185541948	-37.0987698559617	    3.4661	 0.5496	   -6.253	 0.991	    1.291	 1.021	19.9112	0.0079	20.4984	0.1174	18.3720	0.0372	       	
1.353631	121.0972770998008	-35.2263788423569	    2.3764	 1.4533	   -0.736	 1.646	    3.093	 3.873	20.9032	0.0122	21.2834	0.1690	19.7914	0.0703	       	
1.078310	121.0975832713283	-36.3682754153094	    2.6891	 1.0147	   -4.981	 1.560	  -33.997	 1.725	20.2602	0.0139	20.5612	0.2177	18.3979	0.0314	       	
1.267747	121.0975815482443	-36.8127436310699	    2.8744	 0.5002	   -2.872	 0.750	    4.833	 0.892	19.3063	0.0059	19.5576	0.0358	18.0825	0.0229	       	
1.095254	121.0980634580520	-36.4293903694216	    2.1103	 0.0341	   -8.733	 0.057	    6.819	 0.062	 9.6200	0.0003	 9.6246	0.0011	 9.6425	0.0015	       	
1.187728	121.0981801566410	-35.5191605465749	    2.4725	 0.1200	   -9.810	 0.194	    0.411	 0.197	18.0309	0.0014	19.2789	0.0286	16.8896	0.0064	       	
1.930561	121.0988324839813	-34.4643125274893	    2.6001	 1.3237	   -6.155	 1.848	    2.993	 2.982	20.7128	0.0097	21.5043	0.1997	19.5988	0.0968	       	
1.103874	121.0993011886937	-35.7214859793553	    2.4670	 1.4618	   -0.537	 2.439	   -1.997	 3.356	20.7415	0.0122	21.7029	0.3801	19.7635	0.0867	       	
1.346267	121.0997605634780	-35.2354994623306	    2.4344	 1.4176	    2.118	 2.172	    8.828	 3.196	20.7722	0.0106	21.4416	0.1527	19.6041	0.0473	       	
1.648065	121.1002833464211	-37.3691481466331	    2.7490	 1.2483	   -6.947	 1.783	    0.363	 3.818	20.7957	0.0130	20.8887	0.2209	19.5864	0.1088	       	
1.038993	121.1010863859668	-36.0915515320298	    2.1294	 0.6621	   -0.030	 0.911	   -0.117	 1.375	20.2792	0.0074	21.4534	0.1849	19.0851	0.0591	       	
1.045751	121.1012670559691	-36.2102649665675	    2.6925	 0.8682	   -3.167	 1.233	   18.741	 2.306	20.4418	0.0086	       	      	       	      	       	
1.822601	121.1015080879258	-37.5880960318855	    2.9702	 1.6401	    1.627	 2.148	    1.434	 4.598	20.9773	0.0132	20.2449	0.3203	19.8383	0.1740	       	
1.110027	121.1015383049555	-36.4821942527585	    2.8919	 0.4361	   18.739	 0.649	   -8.117	 0.772	19.6506	0.0055	20.7923	0.5402	18.2203	0.0268	       	
1.061975	121.1017063961883	-36.3123130435503	    2.5489	 0.3664	   -9.043	 0.615	   17.185	 0.661	15.3180	0.0020	15.7258	0.0026	14.6393	0.0022	       	
1.512759	121.1017637508922	-34.9904706157887	    3.6270	 0.0248	   -9.348	 0.035	   50.229	 0.042	11.9506	0.0002	12.3170	0.0009	11.4354	0.0009	 125.42	 0.92
1.587290	121.1018638637639	-37.2909216365516	    2.9942	 0.9326	   -0.711	 1.208	    2.970	 2.930	20.6935	0.0104	20.9145	0.1304	19.6374	0.0963	       	
1.556083	121.1018807632549	-34.9312868716012	    2.7362	 1.7963	    3.145	 2.932	    6.798	 3.157	20.8870	0.0155	21.2830	0.2787	19.9272	0.1214	       	
1.042381	121.1022216695928	-35.9957968765107	    2.2882	 0.9768	   -2.533	 1.439	    6.804	 2.613	20.6963	0.0097	21.2011	0.1178	19.4903	0.0725	       	
1.267889	121.1024474824593	-36.8185698238126	    2.4017	 1.3905	   -2.084	 2.312	    2.013	 3.072	20.0672	0.0079	20.2216	0.0885	18.7975	0.0369	       	
1.370846	121.1025347323806	-35.1947230607083	    2.4388	 1.0799	  -15.678	 1.978	    4.175	 2.690	20.6663	0.0099	21.3322	0.1985	19.2108	0.0673	       	
1.038987	121.1026280426287	-36.0402198875505	    3.1332	 0.8921	   -7.343	 1.406	    9.291	 2.431	20.4125	0.0110	20.5443	0.0760	18.9805	0.1650	       	
1.322710	121.1026745954530	-36.9105590620257	    2.3173	 1.2038	   -5.651	 2.295	   11.252	 4.005	20.7712	0.0137	20.3086	0.2103	19.3466	0.0964	       	
1.625207	121.1026767246918	-34.8394724795666	    2.3403	 0.2265	   -6.049	 0.362	    1.065	 0.370	16.5081	0.0032	17.1254	0.0053	15.5516	0.0021	       	
1.712204	121.1028195104264	-37.4523441809222	    3.1748	 1.4066	   -5.865	 2.230	   -2.259	 3.168	20.4279	0.0087	       	      	       	      	       	
1.902339	121.1028145198188	-34.4957923338316	    3.5406	 1.6603	   -1.296	 2.215	    7.730	 4.889	20.8454	0.0129	21.7376	0.1789	19.8991	0.1267	       	
1.263750	121.1028663314030	-36.8118256185147	    2.4708	 0.5724	   -1.572	 0.932	    1.888	 1.222	20.4252	0.0066	20.9070	0.1909	19.3976	0.0719	       	
1.730443	121.1030364776134	-34.7052560754821	    2.4096	 0.7374	   -5.152	 1.336	    2.529	 1.151	18.7802	0.0053	19.5101	0.0382	17.7249	0.0141	       	
1.818955	121.1031299547477	-37.5845517809597	    2.3120	 1.0622	   -2.573	 1.478	    4.678	 2.516	20.5807	0.0100	20.4431	0.3606	19.3677	0.1213	       	
1.499522	121.1031917902895	-37.1732137393657	    2.2150	 2.1317	   -1.838	 2.572	    0.990	 4.531	20.9405	0.0170	20.6860	0.2281	19.8117	0.1391	       	
1.078579	121.1033054169111	-36.3860436222536	    2.9938	 0.0223	  -12.281	 0.036	    6.337	 0.042	10.0941	0.0004	10.2693	0.0011	 9.8283	0.0014	  11.57	 5.13
1.688230	121.1033428809593	-37.4224967930676	    2.3522	 0.4349	    0.266	 0.677	   14.672	 0.755	19.4629	0.0049	20.3165	0.0810	18.1234	0.0135	       	
1.149149	121.1038965545887	-35.5948561621397	    2.8718	 0.0435	  -30.792	 0.069	   12.363	 0.074	16.1983	0.0009	       	      	       	      	       	
1.076658	121.1041235914945	-36.3814224992700	    3.7110	 0.5184	   -4.682	 0.863	    4.178	 0.959	20.0262	0.0061	20.4980	0.1473	18.5019	0.0469	       	
1.490445	121.1042088591598	-37.1614134585704	    2.9856	 0.8928	   -3.035	 1.254	    6.863	 2.108	20.3489	0.0101	       	      	       	      	       	
1.560174	121.1044644024510	-34.9237685781538	    3.9311	 0.0421	   12.038	 0.064	  -18.973	 0.065	15.8722	0.0006	16.9471	0.0049	14.8424	0.0017	       	
1.077244	121.1051034755181	-36.3862357630194	    3.0621	 0.0274	  -13.109	 0.041	    5.984	 0.070	15.1909	0.0014	15.8734	0.0484	14.1866	0.0107	       	
1.564626	121.1051292059218	-37.2631261139018	    3.8781	 0.3346	   15.401	 0.514	   -3.281	 0.548	19.5090	0.0038	       	      	       	      	       	
1.437557	121.1052735715142	-35.0932299341052	    2.9902	 1.2260	   -5.395	 1.823	    6.204	 3.459	20.6565	0.0121	20.9251	0.2130	19.1184	0.0810	       	
1.632664	121.1052788612635	-34.8280487218456	    2.7021	 1.3871	    0.956	 2.270	    8.456	 3.699	20.8245	0.0110	21.5163	0.1420	19.7792	0.0749	       	
1.660411	121.1053262479628	-37.3881874150524	    3.3639	 0.6337	   -6.609	 0.898	   -9.632	 1.435	20.2667	0.0065	21.0200	0.1926	18.8246	0.0412	       	
1.902173	121.1055951228901	-34.4944992749907	    2.5132	 1.2680	   -1.148	 1.548	    7.599	 2.981	20.8987	0.0106	21.2625	0.2344	20.1998	0.1316	       	
1.052219	121.1058414729766	-35.9014789396825	    2.7982	 1.3038	    0.936	 2.019	    1.153	 3.584	20.8485	0.0112	21.2904	0.2698	19.7402	0.0855	       	
1.777660	121.1060653713230	-37.5356886816560	    3.3036	 1.4629	    3.675	 2.138	    6.239	 3.038	20.7876	0.0141	20.6077	0.2684	19.6750	0.0825	       	
1.766189	121.1064567065430	-37.5217392483328	    2.8317	 0.9416	   -1.802	 1.163	    0.852	 2.254	20.4058	0.0108	21.0183	0.1159	19.2282	0.1003	       	
1.983608	121.1069493783143	-34.3975234077897	    2.4012	 1.8916	   -0.358	 3.033	   -0.767	 4.404	20.8507	0.0151	20.9383	0.2902	19.9496	0.1799	       	
1.474129	121.1075546657871	-37.1411856351392	    2.7529	 0.5684	   -5.357	 0.976	    1.328	 0.948	16.8187	0.0029	17.5520	0.0124	15.8619	0.0056	       	
1.580570	121.1076707513928	-37.2860271872877	    2.5044	 1.0287	   -2.214	 1.875	    2.802	 3.324	20.7202	0.0107	21.0841	0.1287	19.7209	0.0946	       	
1.269409	121.1079385977081	-36.8274357834653	    3.4929	 0.7517	   -4.783	 1.115	   10.052	 1.507	19.6264	0.0062	20.0428	0.0597	18.5277	0.0317	       	
1.777495	121.1080018530635	-37.5365003523339	    3.0037	 0.9657	   -6.983	 1.377	   -5.690	 2.053	20.5151	0.0114	21.3269	0.1940	19.1284	0.0625	       	
1.192518	121.1080007499244	-36.6854008527267	    2.1181	 0.4996	   -1.557	 0.789	    2.608	 0.891	19.1449	0.0062	19.6113	0.0472	17.9942	0.0190	       	
1.565180	121.1080679677650	-37.2658722706529	    2.3473	 1.0999	   -5.508	 1.375	    2.713	 4.371	20.6872	0.0111	21.2204	0.3529	19.5461	0.1080	       	
1.748048	121.1085174294507	-37.5005062312520	    3.3434	 1.7519	    0.626	 1.947	    2.257	 3.495	20.8832	0.0147	20.9472	0.1814	19.5586	0.1231	       	
1.377825	121.1087085179775	-37.0022323492633	    3.5419	 0.0181	  -20.924	 0.029	   22.308	 0.031	13.6887	0.0005	14.2632	0.0021	12.9885	0.0015	       	
1.470505	121.1087763417908	-37.1372445106419	    3.6777	 0.0583	  -19.512	 0.089	   58.762	 0.107	11.8978	0.0002	12.2848	0.0008	11.3634	0.0007	  77.22	 0.66
1.085352	121.1088397802306	-36.4241144160056	    2.4908	 0.9804	   -2.263	 1.369	    6.277	 3.258	20.7274	0.0118	21.0367	0.2831	19.2713	0.1312	       	
1.820098	121.1092894374253	-34.5911307590886	    3.4874	 0.7367	   -0.851	 1.045	   -5.841	 1.117	20.1906	0.0082	20.0256	0.1805	18.6972	0.0909	       	
1.874896	121.1096401493145	-34.5249214437604	    2.6669	 0.8515	   -0.672	 1.115	    9.582	 2.167	20.3835	0.0089	20.6013	0.1606	18.6854	0.0588	       	
1.366090	121.1096363711953	-36.9851284554733	    2.1353	 1.1904	    8.279	 1.887	  -40.987	 3.084	20.6820	0.0111	21.4216	0.3035	19.3178	0.0632	       	
1.317559	121.1099319504468	-35.2709123335954	    2.3401	 1.3142	   -7.223	 2.279	   -0.048	 3.899	20.8773	0.0121	22.5480	0.3080	19.6224	0.0625	       	
1.993278	121.1100875307387	-37.7958079475390	    2.1382	 0.0757	  -11.996	 0.124	    7.172	 0.113	17.0691	0.0009	18.1842	0.0182	15.9957	0.0040	       	
1.758983	121.1101720134981	-34.6654853677025	    2.5549	 0.9044	   -2.327	 1.420	    4.148	 1.869	20.7212	0.0099	21.4228	0.3149	19.6241	0.0692	       	
1.893467	121.1105886322740	-34.5021643624570	    2.9072	 0.0267	   -9.180	 0.038	   -7.782	 0.047	15.1845	0.0004	15.9715	0.0021	14.3221	0.0015	       	
1.665372	121.1110016739729	-34.7823849336700	    3.9856	 0.0158	  -19.971	 0.026	   12.781	 0.026	13.1162	0.0003	13.6339	0.0012	12.4598	0.0007	       	
1.863383	121.1110774227266	-37.6425640782934	    3.3065	 0.1367	  -10.587	 0.221	   17.356	 0.211	17.9285	0.0014	19.4447	0.0401	16.6969	0.0099	       	
1.036797	121.1112574200129	-35.9787650140091	    3.1701	 0.5563	   -4.325	 0.910	   -0.983	 0.972	18.9819	0.0054	19.8905	0.0494	17.9059	0.0145	       	
1.657714	121.1112893030039	-34.7918710975632	    3.1766	 1.7858	   -4.077	 2.165	    3.804	 1.005	19.9994	0.0096	       	      	       	      	       	
1.457717	121.1120172223868	-35.0588180737580	    2.8718	 0.7398	   -6.830	 0.993	    1.948	 1.481	20.4433	0.0069	20.9342	0.2343	19.0111	0.0555	       	
1.617690	121.1124117293876	-37.3377929684791	    2.7641	 2.0545	    1.020	 2.209	   -2.633	 4.318	20.8815	0.0194	20.9732	0.2415	19.8685	0.2107	       	
1.504761	121.1134688888071	-37.1882135163598	    2.8769	 1.4696	   -2.588	 2.340	    6.916	 4.207	20.8169	0.0163	20.9474	0.2191	19.8102	0.1428	       	
1.169738	121.1134208976356	-36.6466125171245	    2.5390	 0.2028	   20.471	 0.335	    0.175	 0.320	18.7625	0.0024	19.9409	0.0775	17.5603	0.0090	       	
1.805608	121.1135956177163	-37.5740698853500	    2.6604	 0.9387	    0.694	 1.313	    4.411	 1.967	20.5392	0.0102	20.9533	0.2009	19.3764	0.0710	       	
1.121433	121.1137950324702	-35.6438506703264	    2.2962	 0.0198	  -20.198	 0.031	   -6.393	 0.034	14.4131	0.0002	14.9310	0.0015	13.7558	0.0010	       	
1.656605	121.1138384915083	-34.7916181911188	    2.2990	 0.3713	   -3.083	 0.600	    2.764	 0.509	19.5609	0.0037	20.6308	0.0776	18.2915	0.0199	       	
